time,asset,strategy,side,prob,entry,exit,pnl,status
2026-04-04T03:30:02.411Z,ETH,momentum,DOWN,0.7500,0.750000,0.000000,0.000000,LOSS
2026-04-04T03:32:00.198Z,ETH,momentum,UP,0.3050,0.310000,1.000000,15.020000,WIN
2026-04-04T03:32:05.197Z,ETH,momentum,UP,0.3000,0.300000,1.000000,11.950000,WIN
2026-04-04T03:32:10.215Z,ETH,momentum,UP,0.3050,0.310000,1.000000,50.690000,WIN
2026-04-04T03:32:20.236Z,ETH,momentum,UP,0.2900,0.290000,1.000000,22.340000,WIN
2026-04-04T03:32:25.236Z,ETH,momentum,UP,0.2850,0.290000,1.000000,104.530000,WIN
2026-04-04T03:32:30.250Z,ETH,momentum,UP,0.2450,0.240000,1.000000,40.480000,WIN
2026-04-04T03:32:40.264Z,ETH,momentum,UP,0.2250,0.240000,1.000000,78.400000,WIN
2026-04-04T03:32:45.279Z,ETH,momentum,UP,0.1800,0.190000,1.000000,9.110000,WIN
2026-04-04T03:32:50.289Z,ETH,momentum,UP,0.1950,0.200000,1.000000,30.980000,WIN
2026-04-04T03:33:00.302Z,ETH,momentum,DOWN,0.8200,0.830000,0.000000,-24.400000,LOSS
2026-04-04T03:33:05.303Z,ETH,momentum,UP,0.1700,0.180000,1.000000,36.330000,WIN
2026-04-04T03:33:10.313Z,ETH,momentum,DOWN,0.8350,0.840000,0.000000,-6.340000,LOSS
2026-04-04T03:33:25.351Z,ETH,momentum,DOWN,0.8550,0.860000,0.000000,-23.250000,LOSS
2026-04-04T03:33:30.362Z,ETH,momentum,UP,0.1450,0.150000,1.000000,4.250000,WIN
2026-04-04T03:33:40.395Z,BTC,momentum,DOWN,0.7850,0.790000,1.000000,2.740000,WIN
2026-04-04T03:33:45.407Z,ETH,momentum,UP,0.1250,0.130000,1.000000,36.350000,WIN
2026-04-04T03:33:50.433Z,ETH,momentum,UP,0.1250,0.130000,1.000000,77.850000,WIN
2026-04-04T03:34:05.473Z,ETH,momentum,UP,0.0750,0.080000,1.000000,286.980000,WIN
2026-04-04T03:34:10.484Z,ETH,momentum,UP,0.0650,0.070000,1.000000,171.460000,WIN
2026-04-04T03:35:05.648Z,SOL,momentum,DOWN,0.5350,0.560000,0.000000,-38.670000,LOSS
2026-04-04T03:35:10.667Z,SOL,momentum,UP,0.4850,0.500000,0.000000,-5.520000,LOSS
2026-04-04T03:35:20.683Z,SOL,momentum,UP,0.5050,0.510000,1.000000,7.860000,WIN
2026-04-04T03:35:25.693Z,SOL,momentum,UP,0.5100,0.520000,1.000000,13.010000,WIN
2026-04-04T03:35:30.706Z,SOL,momentum,UP,0.3800,0.390000,1.000000,8.520000,WIN
2026-04-04T03:35:40.717Z,SOL,momentum,UP,0.3700,0.390000,1.000000,13.700000,WIN
2026-04-04T03:35:45.720Z,SOL,momentum,DOWN,0.6350,0.660000,0.000000,-14.700000,LOSS
2026-04-04T03:35:50.742Z,SOL,momentum,DOWN,0.6750,0.730000,0.000000,-14.140000,LOSS
2026-04-04T03:36:00.773Z,SOL,momentum,DOWN,0.6700,0.700000,0.000000,-15.520000,LOSS
2026-04-04T03:36:05.780Z,SOL,momentum,DOWN,0.6700,0.690000,0.000000,-15.090000,LOSS
2026-04-04T03:36:10.804Z,SOL,momentum,DOWN,0.6750,0.690000,0.000000,-15.090000,LOSS
2026-04-04T03:36:20.810Z,SOL,momentum,DOWN,0.6750,0.690000,0.000000,-6.920000,LOSS
2026-04-04T03:36:25.821Z,SOL,momentum,DOWN,0.6800,0.690000,0.000000,-7.610000,LOSS
2026-04-04T03:36:30.842Z,SOL,momentum,DOWN,0.6800,0.690000,0.000000,-11.070000,LOSS
2026-04-04T03:36:40.868Z,XRP,momentum,UP,0.4300,0.450000,0.000000,-4.680000,LOSS
2026-04-04T03:36:45.874Z,SOL,momentum,UP,0.3250,0.340000,1.000000,18.130000,WIN
2026-04-04T03:36:50.879Z,SOL,momentum,UP,0.4300,0.430000,1.000000,3.410000,WIN
2026-04-04T03:37:05.895Z,SOL,momentum,UP,0.4400,0.460000,1.000000,55.640000,WIN
2026-04-04T03:37:10.904Z,SOL,momentum,UP,0.4400,0.460000,1.000000,56.300000,WIN
2026-04-04T03:37:20.938Z,SOL,momentum,UP,0.4250,0.430000,1.000000,3.980000,WIN
2026-04-04T03:37:25.946Z,SOL,momentum,UP,0.4650,0.480000,1.000000,0.410000,WIN
2026-04-04T03:37:30.953Z,SOL,momentum,UP,0.4750,0.480000,1.000000,0.950000,WIN
2026-04-04T03:37:40.986Z,BTC,momentum,UP,0.2850,0.300000,1.000000,126.970000,WIN
2026-04-04T03:37:45.994Z,SOL,momentum,UP,0.3650,0.370000,1.000000,62.890000,WIN
2026-04-04T03:37:51.022Z,SOL,momentum,UP,0.3600,0.370000,1.000000,74.330000,WIN
2026-04-04T03:38:01.056Z,SOL,momentum,UP,0.3550,0.370000,1.000000,76.220000,WIN
2026-04-04T03:38:06.069Z,SOL,momentum,UP,0.3450,0.360000,1.000000,76.800000,WIN
2026-04-04T03:38:11.077Z,SOL,momentum,UP,0.4800,0.490000,1.000000,11.690000,WIN
2026-04-04T03:38:21.104Z,SOL,momentum,UP,0.5000,0.510000,1.000000,34.710000,WIN
2026-04-04T03:38:26.108Z,SOL,momentum,UP,0.5050,0.510000,1.000000,24.620000,WIN
2026-04-04T03:38:31.135Z,SOL,momentum,UP,0.5100,0.520000,1.000000,13.490000,WIN
2026-04-04T03:38:41.168Z,ETH,momentum,UP,0.6950,0.700000,0.000000,-38.670000,LOSS
2026-04-04T03:38:46.172Z,SOL,momentum,UP,0.5750,0.610000,1.000000,19.410000,WIN
2026-04-04T03:38:51.188Z,SOL,momentum,UP,0.5750,0.600000,1.000000,7.960000,WIN
2026-04-04T03:39:01.221Z,SOL,momentum,UP,0.6000,0.660000,1.000000,10.430000,WIN
2026-04-04T03:39:06.229Z,SOL,momentum,UP,0.6450,0.710000,1.000000,15.920000,WIN
2026-04-04T03:39:11.251Z,SOL,momentum,UP,0.6500,0.700000,1.000000,7.150000,WIN
2026-04-04T03:39:21.272Z,SOL,momentum,UP,0.6150,0.630000,1.000000,3.680000,WIN
2026-04-04T03:39:26.273Z,SOL,momentum,UP,0.6600,0.680000,1.000000,1.020000,WIN
2026-04-04T03:39:31.283Z,SOL,momentum,UP,0.6650,0.680000,1.000000,1.590000,WIN
2026-04-04T03:39:41.315Z,SOL,momentum,UP,0.7050,0.730000,1.000000,2.630000,WIN
2026-04-04T03:39:46.331Z,SOL,momentum,UP,0.7350,0.760000,1.000000,16.700000,WIN
2026-04-04T03:39:51.334Z,SOL,momentum,UP,0.8500,0.851156,1.000000,7.680000,WIN
2026-04-04T03:40:03.869Z,XRP,momentum,UP,0.7500,0.750000,0.000000,0.000000,LOSS
2026-04-04T03:40:31.415Z,XRP,momentum,UP,0.4550,0.500000,0.000000,-6.880000,LOSS
2026-04-04T03:40:46.461Z,XRP,momentum,UP,0.4600,0.510000,1.000000,26.870000,WIN
2026-04-04T03:40:51.478Z,XRP,momentum,UP,0.4600,0.510000,1.000000,26.870000,WIN
2026-04-04T03:41:06.503Z,XRP,momentum,UP,0.4600,0.510000,1.000000,29.310000,WIN
2026-04-04T03:41:11.528Z,XRP,momentum,UP,0.4000,0.440000,1.000000,11.930000,WIN
2026-04-04T03:41:26.543Z,XRP,momentum,UP,0.4000,0.440000,1.000000,12.070000,WIN
2026-04-04T03:41:31.560Z,XRP,momentum,UP,0.4000,0.510000,1.000000,29.310000,WIN
2026-04-04T03:41:41.590Z,XRP,momentum,UP,0.5050,0.510000,1.000000,27.340000,WIN
